experiment,regime,fold_or_budget,baseline,train_rows,heldout_rows,distortion_ratio,ratio_median,ratio_max,feasible,active_packages,best_subset,zero_exposure_rows
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,released_uniform,92,11,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,inverse_support_size,92,11,1.5942028985507246,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,inverse_sqrt_support,92,11,1.7708455737375188,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,fractional_load_inverse,92,11,1.7333333333333336,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,nnls_l2,92,11,1.383177570093458,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,chebyshev_linf,92,11,2.0000000000000004,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,greedy_cover_uniform,92,11,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,exact_min_cover_uniform,92,11,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,maxmin_fair,92,11,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,exact_rstar,92,11,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,AppointmentRegistration,semantic_first_upper_bound,92,11,1.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,released_uniform,90,13,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,inverse_support_size,90,13,1.5735294117647058,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,inverse_sqrt_support,90,13,1.7573172464461018,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,fractional_load_inverse,90,13,1.7027027027027026,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,nnls_l2,90,13,1.3984881209503237,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,chebyshev_linf,90,13,2.0000000000000004,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,greedy_cover_uniform,90,13,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,exact_min_cover_uniform,90,13,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,maxmin_fair,90,13,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,exact_rstar,90,13,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,CancelRegistration,semantic_first_upper_bound,90,13,1.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,released_uniform,84,18,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,inverse_support_size,84,18,3.5,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,inverse_sqrt_support,84,18,2.581138830084189,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,fractional_load_inverse,84,18,3.321428571428571,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,nnls_l2,84,18,4.121794871794877,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,chebyshev_linf,84,18,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,greedy_cover_uniform,84,18,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,exact_min_cover_uniform,84,18,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,maxmin_fair,84,18,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,exact_rstar,84,18,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,EmergencyKnowledge,semantic_first_upper_bound,84,18,1.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,ModifyRegistration,released_uniform,89,14,2.0,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,ModifyRegistration,inverse_support_size,89,14,1.558823529411765,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,ModifyRegistration,inverse_sqrt_support,89,14,1.747545001596402,,,,,,0
leave_one_tool_out,skillsp_l1_selected_tools,ModifyRegistration,fractional_load_inverse,89,14,1.6756756756756759,,,,,,0
