p_hat,k,N,native_class_active,canonical_class_active,quotient_credit_class_active,representation_divergence_from_canonical,retired_focal_ids,active_focal_ids,future_focal_sampling_probability,attempts_by_id
0.1,1,0,True,True,True,False,0,1,0.5,0
0.1,1,1,True,True,True,False,0,1,0.45861771423232084,1
0.1,1,2,True,True,True,False,0,1,0.42567254947339034,2
0.1,1,3,True,True,True,False,0,1,0.3986277811395141,3
0.1,1,4,True,True,True,False,0,1,0.3759551775892021,4
0.1,1,5,True,True,True,False,0,1,0.3566649346748897,5
0.1,1,6,True,True,True,False,0,1,0.34007699564752936,6
0.1,1,7,True,True,True,False,0,1,0.32570078001153424,7
0.1,1,8,True,True,True,False,0,1,0.31316785630067306,8
0.1,1,9,True,True,True,False,0,1,0.3021922484198376,9
0.1,1,10,True,True,True,False,0,1,0.29254596667440147,10
0.1,1,11,True,True,True,False,0,1,0.2840433137247978,11
0.1,1,12,True,True,True,False,0,1,0.2765304469600742,12
0.1,1,13,True,True,True,False,0,1,0.26987819829884985,13
0.1,1,14,True,True,True,False,0,1,0.2639769756904373,14
0.1,1,15,True,True,True,False,0,1,0.2587330336768264,15
0.1,1,16,True,True,True,False,0,1,0.2540656693644184,16
0.1,1,17,True,True,True,False,0,1,0.24990506079609343,17
0.1,1,18,True,True,True,False,0,1,0.24619056301120093,18
0.1,1,19,True,True,True,False,0,1,0.24286933854624396,19
0.1,1,20,True,True,True,False,0,1,0.23989523832936357,20
0.1,1,21,True,True,True,False,0,1,0.2372278743883902,21
0.1,1,22,True,True,True,False,0,1,0.23483184263370993,22
0.1,1,23,True,True,True,False,0,1,0.23267606531267007,23
0.1,1,24,True,True,True,False,0,1,0.2307332304991697,24
0.1,1,25,True,True,True,False,0,1,0.22897931140246353,25
0.1,1,26,True,True,True,False,0,1,0.22739315213445394,26
0.1,1,27,True,True,True,False,0,1,0.22595610937093624,27
0.1,1,28,True,True,True,False,0,1,0.2246517414110715,28
0.1,1,29,True,True,True,False,0,1,0.22346553770071823,29
0.1,1,30,True,True,True,False,0,1,0.22238468308668097,30
0.1,1,31,True,True,True,False,0,1,0.22139785201058032,31
0.1,1,32,True,True,True,False,0,1,0.2204950286017616,32
0.1,1,33,True,True,True,False,0,1,0.21966734923640763,33
0.1,1,34,True,True,True,False,0,1,0.21890696462871906,34
0.1,1,35,True,True,True,False,0,1,0.21820691893402114,35
0.1,1,36,True,True,True,False,0,1,0.217561043690731,36
0.1,1,37,True,True,True,False,0,1,0.21696386472147572,37
0.1,1,38,True,True,True,False,0,1,0.21641052036327418,38
0.1,1,39,True,True,True,False,0,1,0.2158966896102778,39
0.1,1,40,True,True,True,False,0,1,0.21541852893610564,40
0.1,1,41,True,True,True,False,0,1,0.21497261672111873,41
0.1,1,42,True,True,True,False,0,1,0.21455590434689487,42
0.1,1,43,True,True,True,False,0,1,0.21416567313887636,43
0.1,1,44,True,True,True,False,0,1,0.21379949644126311,44
0.1,1,45,True,True,True,False,0,1,0.21345520619791986,45
0.1,1,46,True,True,True,False,0,1,0.2131308634911831,46
0.1,1,47,True,True,True,False,0,1,0.2128247325585695,47
0.1,1,48,True,True,True,False,0,1,0.21253525786682648,48
0.1,2,0,True,True,True,False,0,2,0.6666666666666666,0;0
0.1,2,1,True,True,True,False,0,2,0.648768322585175,1;0
0.1,2,2,True,True,True,False,0,2,0.6288388105497458,1;1
0.1,2,3,True,True,True,False,0,2,0.6136446192154564,2;1
0.1,2,4,True,True,True,False,0,2,0.5971533219610964,2;2
0.1,2,5,True,True,True,False,0,2,0.5840319236718718,3;2
0.1,2,6,True,True,True,False,0,2,0.5700269743172658,3;3
0.1,2,7,True,True,True,False,0,2,0.5585598291464401,4;3
0.1,2,8,True,True,True,False,0,2,0.5464642798145642,4;4
0.1,2,9,True,True,True,False,0,2,0.536360672621854,5;4
0.1,2,10,True,True,True,False,0,2,0.5257966437532502,5;5
0.1,2,11,True,True,True,False,0,2,0.5168447847274825,6;5
0.1,2,12,True,True,True,False,0,2,0.507548441995608,6;6
0.1,2,13,True,True,True,False,0,2,0.4995870183066454,7;6
0.1,2,14,True,True,True,False,0,2,0.49136394112810355,7;7
0.1,2,15,True,True,True,False,0,2,0.48426517728549673,8;7
0.1,2,16,True,True,True,False,0,2,0.47696546149537755,8;8
0.1,2,17,True,True,True,False,0,2,0.47062477675346226,9;8
0.1,2,18,True,True,True,False,0,2,0.4641284707178019,9;9
0.1,2,19,True,True,True,False,0,2,0.45845800472056564,10;9
0.1,2,20,True,True,True,False,0,2,0.4526662481909167,10;10
0.1,2,21,True,True,True,False,0,2,0.447590703152966,11;10
0.1,2,22,True,True,True,False,0,2,0.4424201437579781,11;11
0.1,2,23,True,True,True,False,0,2,0.4378740394384095,12;11
0.1,2,24,True,True,True,False,0,2,0.43325319442023963,12;12
0.1,2,25,True,True,True,False,0,2,0.42917899836930495,13;12
0.1,2,26,True,True,True,False,0,2,0.4250458014955815,13;13
0.1,2,27,True,True,True,False,0,2,0.4213926094202545,14;13
0.1,2,28,True,True,True,False,0,2,0.41769269657185326,14;14
0.1,2,29,True,True,True,False,0,2,0.4144152635961417,15;14
0.1,2,30,True,True,True,False,0,2,0.41110072867644276,15;15
0.1,2,31,True,True,True,False,0,2,0.4081587283058611,16;15
0.1,2,32,True,True,True,False,0,2,0.40518718528222397,16;16
0.1,2,33,True,True,True,False,0,2,0.4025446194129374,17;16
0.1,2,34,True,True,True,False,0,2,0.3998784685885232,17;17
0.1,2,35,True,True,True,False,0,2,0.3975031806378873,18;17
0.1,2,36,True,True,True,False,0,2,0.39510901513541336,18;18
0.1,2,37,True,True,True,False,0,2,0.3929722762063814,19;18
0.1,2,38,True,True,True,False,0,2,0.39082038797468877,19;19
0.1,2,39,True,True,True,False,0,2,0.3888965370514648,20;19
0.1,2,40,True,True,True,False,0,2,0.3869604961990155,20;20
0.1,2,41,True,True,True,False,0,2,0.3852266222474145,21;20
0.1,2,42,True,True,True,False,0,2,0.38348291256477085,21;21
0.1,2,43,True,True,True,False,0,2,0.38191857065623985,22;21
0.1,2,44,True,True,True,False,0,2,0.3803462698740406,22;22
0.1,2,45,True,True,True,False,0,2,0.37893322605597435,23;22
0.1,2,46,True,True,True,False,0,2,0.37751372296443747,23;23
0.1,2,47,True,True,True,False,0,2,0.37623572418388634,24;23
0.1,2,48,True,True,True,False,0,2,0.3749524670030844,24;24
0.1,3,0,True,True,True,False,0,3,0.75,0;0;0
0.1,3,1,True,True,True,False,0,3,0.7400655392517136,1;0;0
0.1,3,2,True,True,True,False,0,3,0.7293088571161604,1;1;0
0.1,3,3,True,True,True,False,0,3,0.717623470894637,1;1;1
0.1,3,4,True,True,True,False,0,3,0.7089142850765318,2;1;1
0.1,3,5,True,True,True,False,0,3,0.699650777235907,2;2;1
0.1,3,6,True,True,True,False,0,3,0.6897782856079392,2;2;2
0.1,3,7,True,True,True,False,0,3,0.682054955751687,3;2;2
0.1,3,8,True,True,True,False,0,3,0.6739372447871851,3;3;2
0.1,3,9,True,True,True,False,0,3,0.6653941534625661,3;3;3
0.1,3,10,True,True,True,False,0,3,0.6584905068242588,4;3;3
0.1,3,11,True,True,True,False,0,3,0.6512959842814181,4;4;3
0.1,3,12,True,True,True,False,0,3,0.6437918067176166,4;4;4
0.1,3,13,True,True,True,False,0,3,0.637588975065971,5;4;4
0.1,3,14,True,True,True,False,0,3,0.631166288950843,5;5;4
0.1,3,15,True,True,True,False,0,3,0.6245118486323592,5;5;5
0.1,3,16,True,True,True,False,0,3,0.6189210593280464,6;5;5
0.1,3,17,True,True,True,False,0,3,0.6131612667906698,6;6;5
0.1,3,18,True,True,True,False,0,3,0.6072246902536573,6;6;6
0.1,3,19,True,True,True,False,0,3,0.6021765288092008,7;6;6
0.1,3,20,True,True,True,False,0,3,0.5969969144392481,7;7;6
0.1,3,21,True,True,True,False,0,3,0.591680644906835,7;7;7
0.1,3,22,True,True,True,False,0,3,0.5871184421952416,8;7;7
0.1,3,23,True,True,True,False,0,3,0.5824531394223418,8;8;7
0.1,3,24,True,True,True,False,0,3,0.5776812017484818,8;8;8
0.1,3,25,True,True,True,False,0,3,0.5735569646880448,9;8;8
0.1,3,26,True,True,True,False,0,3,0.5693513811305027,9;9;8
0.1,3,27,True,True,True,False,0,3,0.5650620203855699,9;9;9
0.1,3,28,True,True,True,False,0,3,0.5613339224709264,10;9;9
0.1,3,29,True,True,True,False,0,3,0.5575413607550065,10;10;9
0.1,3,30,True,True,True,False,0,3,0.553682648658132,10;10;10
0.1,3,31,True,True,True,False,0,3,0.550313477146856,11;10;10
0.1,3,32,True,True,True,False,0,3,0.546893052160843,11;11;10
0.1,3,33,True,True,True,False,0,3,0.5434201951969546,11;11;11
0.1,3,34,True,True,True,False,0,3,0.540376383986217,12;11;11
0.1,3,35,True,True,True,False,0,3,0.5372917169809337,12;12;11
0.1,3,36,True,True,True,False,0,3,0.5341653660380407,12;12;12
0.1,3,37,True,True,True,False,0,3,0.5314163848216663,13;12;12
0.1,3,38,True,True,True,False,0,3,0.5286347664562757,13;13;12
0.1,3,39,True,True,True,False,0,3,0.5258199262464808,13;13;13
0.1,3,40,True,True,True,False,0,3,0.5233378837256472,14;13;13
0.1,3,41,True,True,True,False,0,3,0.5208297205315553,14;14;13
0.1,3,42,True,True,True,False,0,3,0.5182950221475009,14;14;14
0.1,3,43,True,True,True,False,0,3,0.5160543953908714,15;14;14
0.1,3,44,True,True,True,False,0,3,0.5137928268968591,15;15;14
0.1,3,45,True,True,True,False,0,3,0.5115100216930137,15;15;15
0.1,3,46,True,True,True,False,0,3,0.509487457874861,16;15;15
0.1,3,47,True,True,True,False,0,3,0.5074480758104019,16;16;15
0.1,3,48,True,True,True,False,0,3,0.5053916648504171,16;16;16
0.1,4,0,True,True,True,False,0,4,0.8,0;0;0;0
0.1,4,1,True,True,True,False,0,4,0.7936920777657681,1;0;0;0
0.1,4,2,True,True,True,False,0,4,0.7869732984291488,1;1;0;0
0.1,4,3,True,True,True,False,0,4,0.7798021698803547,1;1;1;0
0.1,4,4,True,True,True,False,0,4,0.7721314183783572,1;1;1;1
0.1,4,5,True,True,True,False,0,4,0.7664935970139695,2;1;1;1
0.1,4,6,True,True,True,False,0,4,0.7605697213724872,2;2;1;1
0.1,4,7,True,True,True,False,0,4,0.7543374538432339,2;2;2;1
0.1,4,8,True,True,True,False,0,4,0.7477720689055324,2;2;2;2
0.1,4,9,True,True,True,False,0,4,0.7426901238745467,3;2;2;2
0.1,4,10,True,True,True,False,0,4,0.7373991836200551,3;3;2;2
0.1,4,11,True,True,True,False,0,4,0.7318860850687684,3;3;3;2
0.1,4,12,True,True,True,False,0,4,0.7261365360491909,3;3;3;3
0.1,4,13,True,True,True,False,0,4,0.7215291340038348,4;3;3;3
0.1,4,14,True,True,True,False,0,4,0.7167640519162367,4;4;3;3
0.1,4,15,True,True,True,False,0,4,0.7118330543921632,4;4;4;3
0.1,4,16,True,True,True,False,0,4,0.706727322379655,4;4;4;4
0.1,4,17,True,True,True,False,0,4,0.7025356119491073,5;4;4;4
0.1,4,18,True,True,True,False,0,4,0.6982223408602819,5;5;4;4
0.1,4,19,True,True,True,False,0,4,0.6937821433747332,5;5;5;4
0.1,4,20,True,True,True,False,0,4,0.6892093332436001,5;5;5;5
0.1,4,21,True,True,True,False,0,4,0.6853889771787388,6;5;5;5
0.1,4,22,True,True,True,False,0,4,0.6814735296997962,6;6;5;5
0.1,4,23,True,True,True,False,0,4,0.6774593957239927,6;6;6;5
0.1,4,24,True,True,True,False,0,4,0.673342796631787,6;6;6;6
0.1,4,25,True,True,True,False,0,4,0.6698586954736662,7;6;6;6
0.1,4,26,True,True,True,False,0,4,0.6662994707313299,7;7;6;6
0.1,4,27,True,True,True,False,0,4,0.6626626662223705,7;7;7;6
0.1,4,28,True,True,True,False,0,4,0.6589457175106755,7;7;7;7
0.1,4,29,True,True,True,False,0,4,0.6557686750251961,8;7;7;7
0.1,4,30,True,True,True,False,0,4,0.6525318854022388,8;8;7;7
0.1,4,31,True,True,True,False,0,4,0.6492336472457884,8;8;8;7
0.1,4,32,True,True,True,False,0,4,0.6458721939407658,8;8;8;8
0.1,4,33,True,True,True,False,0,4,0.6429768605771833,9;8;8;8
0.1,4,34,True,True,True,False,0,4,0.6400337927019143,9;9;8;8
0.1,4,35,True,True,True,False,0,4,0.6370418000256501,9;9;9;8
0.1,4,36,True,True,True,False,0,4,0.6339996523532649,9;9;9;9
0.1,4,37,True,True,True,False,0,4,0.6313632844723328,10;9;9;9
0.1,4,38,True,True,True,False,0,4,0.6286886605396694,10;10;9;9
0.1,4,39,True,True,True,False,0,4,0.6259749417753528,10;10;10;9
0.1,4,40,True,True,True,False,0,4,0.6232212646981319,10;10;10;10
0.1,4,41,True,True,True,False,0,4,0.6208229959311351,11;10;10;10
0.1,4,42,True,True,True,False,0,4,0.6183940007048656,11;11;10;10
0.1,4,43,True,True,True,False,0,4,0.6159336847142083,11;11;11;10
0.1,4,44,True,True,True,False,0,4,0.6134414382280163,11;11;11;11
0.1,4,45,True,True,True,False,0,4,0.6112618667271291,12;11;11;11
0.1,4,46,True,True,True,False,0,4,0.6090575772679364,12;12;11;11
0.1,4,47,True,True,True,False,0,4,0.6068281469725781,12;12;12;11
0.1,4,48,True,True,True,False,0,4,0.6045731432616739,12;12;12;12
0.1,5,0,True,True,True,False,0,5,0.8333333333333334,0;0;0;0;0
0.1,5,1,True,True,True,False,0,5,0.8289757379259153,1;0;0;0;0
0.1,5,2,True,True,True,False,0,5,0.8243841612925875,1;1;0;0;0
