k,N,M,region,total_weak_compositions,invariant_compositions,fragmented_compositions,fragmentation_fraction,closed_form_fragmentation_fraction,dp_matches_stars_bars,fraction_matches_closed_form
2,8,8,GUARANTEED_FRAGMENTATION,9,0,9,1.0,1.0,True,True
2,9,8,GUARANTEED_FRAGMENTATION,10,0,10,1.0,1.0,True,True
2,10,8,GUARANTEED_FRAGMENTATION,11,0,11,1.0,1.0,True,True
2,11,8,GUARANTEED_FRAGMENTATION,12,0,12,1.0,1.0,True,True
2,12,8,GUARANTEED_FRAGMENTATION,13,0,13,1.0,1.0,True,True
2,13,8,GUARANTEED_FRAGMENTATION,14,0,14,1.0,1.0,True,True
2,14,8,GUARANTEED_FRAGMENTATION,15,0,15,1.0,1.0,True,True
2,15,8,GUARANTEED_FRAGMENTATION,16,0,16,1.0,1.0,True,True
2,16,8,PARTITION_DEPENDENT_TAIL,17,1,16,0.9411764705882353,0.9411764705882353,True,True
2,17,8,PARTITION_DEPENDENT_TAIL,18,2,16,0.8888888888888888,0.8888888888888888,True,True
2,18,8,PARTITION_DEPENDENT_TAIL,19,3,16,0.8421052631578947,0.8421052631578947,True,True
2,19,8,PARTITION_DEPENDENT_TAIL,20,4,16,0.8,0.8,True,True
2,20,8,PARTITION_DEPENDENT_TAIL,21,5,16,0.7619047619047619,0.7619047619047619,True,True
2,21,8,PARTITION_DEPENDENT_TAIL,22,6,16,0.7272727272727273,0.7272727272727273,True,True
2,22,8,PARTITION_DEPENDENT_TAIL,23,7,16,0.6956521739130435,0.6956521739130435,True,True
2,23,8,PARTITION_DEPENDENT_TAIL,24,8,16,0.6666666666666666,0.6666666666666667,True,True
2,24,8,PARTITION_DEPENDENT_TAIL,25,9,16,0.64,0.64,True,True
2,25,8,PARTITION_DEPENDENT_TAIL,26,10,16,0.6153846153846154,0.6153846153846154,True,True
2,26,8,PARTITION_DEPENDENT_TAIL,27,11,16,0.5925925925925926,0.5925925925925926,True,True
2,27,8,PARTITION_DEPENDENT_TAIL,28,12,16,0.5714285714285714,0.5714285714285714,True,True
2,28,8,PARTITION_DEPENDENT_TAIL,29,13,16,0.5517241379310345,0.5517241379310345,True,True
2,29,8,PARTITION_DEPENDENT_TAIL,30,14,16,0.5333333333333333,0.5333333333333333,True,True
2,30,8,PARTITION_DEPENDENT_TAIL,31,15,16,0.5161290322580645,0.5161290322580645,True,True
2,31,8,PARTITION_DEPENDENT_TAIL,32,16,16,0.5,0.5,True,True
2,32,8,PARTITION_DEPENDENT_TAIL,33,17,16,0.48484848484848486,0.48484848484848486,True,True
2,33,8,PARTITION_DEPENDENT_TAIL,34,18,16,0.47058823529411764,0.47058823529411764,True,True
2,34,8,PARTITION_DEPENDENT_TAIL,35,19,16,0.45714285714285713,0.4571428571428572,True,True
2,35,8,PARTITION_DEPENDENT_TAIL,36,20,16,0.4444444444444444,0.4444444444444444,True,True
2,36,8,PARTITION_DEPENDENT_TAIL,37,21,16,0.43243243243243246,0.43243243243243246,True,True
2,37,8,PARTITION_DEPENDENT_TAIL,38,22,16,0.42105263157894735,0.42105263157894735,True,True
2,38,8,PARTITION_DEPENDENT_TAIL,39,23,16,0.41025641025641024,0.41025641025641024,True,True
2,39,8,PARTITION_DEPENDENT_TAIL,40,24,16,0.4,0.4,True,True
2,40,8,PARTITION_DEPENDENT_TAIL,41,25,16,0.3902439024390244,0.3902439024390244,True,True
2,41,8,PARTITION_DEPENDENT_TAIL,42,26,16,0.38095238095238093,0.38095238095238093,True,True
2,42,8,PARTITION_DEPENDENT_TAIL,43,27,16,0.37209302325581395,0.37209302325581395,True,True
2,43,8,PARTITION_DEPENDENT_TAIL,44,28,16,0.36363636363636365,0.36363636363636365,True,True
2,44,8,PARTITION_DEPENDENT_TAIL,45,29,16,0.35555555555555557,0.3555555555555555,True,True
2,45,8,PARTITION_DEPENDENT_TAIL,46,30,16,0.34782608695652173,0.34782608695652173,True,True
2,46,8,PARTITION_DEPENDENT_TAIL,47,31,16,0.3404255319148936,0.34042553191489366,True,True
2,47,8,PARTITION_DEPENDENT_TAIL,48,32,16,0.3333333333333333,0.33333333333333337,True,True
2,48,8,PARTITION_DEPENDENT_TAIL,49,33,16,0.32653061224489793,0.326530612244898,True,True
3,8,8,GUARANTEED_FRAGMENTATION,45,0,45,1.0,1.0,True,True
3,9,8,GUARANTEED_FRAGMENTATION,55,0,55,1.0,1.0,True,True
3,10,8,GUARANTEED_FRAGMENTATION,66,0,66,1.0,1.0,True,True
3,11,8,GUARANTEED_FRAGMENTATION,78,0,78,1.0,1.0,True,True
3,12,8,GUARANTEED_FRAGMENTATION,91,0,91,1.0,1.0,True,True
3,13,8,GUARANTEED_FRAGMENTATION,105,0,105,1.0,1.0,True,True
3,14,8,GUARANTEED_FRAGMENTATION,120,0,120,1.0,1.0,True,True
3,15,8,GUARANTEED_FRAGMENTATION,136,0,136,1.0,1.0,True,True
3,16,8,GUARANTEED_FRAGMENTATION,153,0,153,1.0,1.0,True,True
3,17,8,GUARANTEED_FRAGMENTATION,171,0,171,1.0,1.0,True,True
3,18,8,GUARANTEED_FRAGMENTATION,190,0,190,1.0,1.0,True,True
3,19,8,GUARANTEED_FRAGMENTATION,210,0,210,1.0,1.0,True,True
