top_k,control,comparisons,prompt_changed_fraction,semantic_set_changed_fraction,unique_count_reduced_fraction,targets_with_semantic_set_change,targets_with_unique_count_reduction
1,official_dynamic_priority,2676,0.9166666666666666,0.9166666666666666,0.0,11,0
1,non_dynamic_clone_placebo,2676,0.0,0.0,0.0,0,0
1,exact_semantic_quotient,2676,0.0,0.0,0.0,0,0
1,capacity_plus_one,2676,1.0,0.9166666666666666,0.0,11,0
2,official_dynamic_priority,2676,1.0,0.9166666666666666,0.08333333333333333,11,1
2,non_dynamic_clone_placebo,2676,0.0,0.0,0.0,0,0
2,exact_semantic_quotient,2676,0.0,0.0,0.0,0,0
2,capacity_plus_one,2676,1.0,0.8333333333333334,0.0,10,0
3,official_dynamic_priority,2676,1.0,0.9166666666666666,0.16666666666666666,11,2
3,non_dynamic_clone_placebo,2676,0.0,0.0,0.0,0,0
3,exact_semantic_quotient,2676,0.0,0.0,0.0,0,0
3,capacity_plus_one,2676,1.0,0.75,0.0,9,0
4,official_dynamic_priority,2676,1.0,0.9166666666666666,0.25,11,3
4,non_dynamic_clone_placebo,2676,0.0,0.0,0.0,0,0
4,exact_semantic_quotient,2676,0.0,0.0,0.0,0,0
4,capacity_plus_one,2676,1.0,0.6666666666666666,0.0,8,0
6,official_dynamic_priority,2676,1.0,0.9166666666666666,0.4166666666666667,11,5
6,non_dynamic_clone_placebo,2676,0.0,0.0,0.0,0,0
6,exact_semantic_quotient,2676,0.0,0.0,0.0,0,0
6,capacity_plus_one,2676,1.0,0.5,0.0,6,0
8,official_dynamic_priority,2676,1.0,0.9166666666666666,0.5833333333333334,11,7
8,non_dynamic_clone_placebo,2676,0.0,0.0,0.0,0,0
8,exact_semantic_quotient,2676,0.0,0.0,0.0,0,0
8,capacity_plus_one,2676,1.0,0.3333333333333333,0.0,4,0
12,official_dynamic_priority,2676,1.0,0.9166666666666666,0.9166666666666666,11,11
12,non_dynamic_clone_placebo,2676,0.0,0.0,0.0,0,0
12,exact_semantic_quotient,2676,0.0,0.0,0.0,0,0
12,capacity_plus_one,2676,1.0,0.0,0.0,0,0
13,official_dynamic_priority,2676,1.0,0.0,0.0,0,0
13,non_dynamic_clone_placebo,2676,1.0,0.0,0.0,0,0
13,exact_semantic_quotient,2676,0.0,0.0,0.0,0,0
13,capacity_plus_one,2676,1.0,0.0,0.0,0,0
