regime,baseline,rows,packages,multi_rows,distortion_ratio,coefficient_of_variation,max_package_share,effective_package_count
core_gt,released_uniform,75,186,51,7.0,0.5820223363411409,0.005376344086021506,186.0000000000001
core_gt,inverse_support_size,75,186,51,14.0,0.6270762714762724,0.0055762081784386614,182.61451104100954
core_gt,inverse_sqrt_support,75,186,51,9.899494936611665,0.6024520442482795,0.005492615321295102,184.833467514483
core_gt,nnls_l2,75,186,51,1.0000000000000013,1.9143971084493633e-16,0.014925373134328365,67.0
core_gt,exact_min_cover_uniform,75,186,51,1.0,0.0,0.014925373134328358,67.00000000000001
core_gt,maxmin_fair,75,186,51,1.0,1.1622647289044608e-16,0.014925373134328358,67.0
core_gt,exact_rstar,75,186,51,1.0,0.0,0.014925373134328358,67.0
core_gt,semantic_first_upper_bound,75,186,51,1.0,,,
all_gt,released_uniform,75,196,59,7.0,0.523838990051562,0.00510204081632653,196.00000000000006
all_gt,inverse_support_size,75,196,59,14.0,0.6091733111961811,0.005360732633459906,190.6202531645569
all_gt,inverse_sqrt_support,75,196,59,9.899494936611665,0.5685944026873003,0.005257605805327778,193.931387532636
all_gt,nnls_l2,75,196,59,1.0000000000000016,2.1259152388627147e-16,0.01694915254237289,59.0
all_gt,exact_min_cover_uniform,75,196,59,3.0,0.24527085217575623,0.017241379310344827,58.0
all_gt,maxmin_fair,75,196,59,2.0,0.15692267498174772,0.017241379310344827,58.0
all_gt,exact_rstar,75,196,59,1.0,0.0,0.01694915254237288,59.0
all_gt,semantic_first_upper_bound,75,196,59,1.0,,,
graded_ge_1,released_uniform,75,554,74,21.0,0.5403406333045849,0.0018050541516245488,554.0000000000005
graded_ge_1,inverse_support_size,75,554,74,21.0,0.6289169768342576,0.0018951358180669617,539.3104171850936
graded_ge_1,inverse_sqrt_support,75,554,74,21.0,0.5877202890187271,0.0018588607350925937,548.4621125382587
graded_ge_1,nnls_l2,75,554,74,1.0000000000000016,2.133631834973626e-16,0.01694915254237289,59.0
graded_ge_1,exact_min_cover_uniform,75,554,74,2.0,0.1569226749817477,0.017241379310344827,58.0
graded_ge_1,maxmin_fair,75,554,74,3.0,0.2452708521757564,0.017241379310344827,58.0
graded_ge_1,exact_rstar,75,554,74,1.0,0.0,0.01694915254237288,59.0
graded_ge_1,semantic_first_upper_bound,75,554,74,1.0,,,
