mode,minimum_edit_count,source_index,matrix_row,skill_id,tool,verified_R_star,mip_gap
addition,22,44,41,skill_015,ModifyRegistration,1.0,0.0
addition,22,98,84,skill_015,RecordHealthData,1.0,0.0
addition,22,118,103,skill_015,ModifyRegistration,1.0,0.0
addition,22,133,112,skill_015,QueryHealthData,1.0,0.0
addition,22,148,126,skill_015,ModifyRegistration,1.0,0.0
addition,22,181,147,skill_015,ModifyRegistration,1.0,0.0
addition,22,199,161,skill_015,ModifyRegistration,1.0,0.0
addition,22,233,185,skill_015,QueryHealthData,1.0,0.0
addition,22,276,219,skill_015,QueryRegistration,1.0,0.0
addition,22,289,227,skill_015,CancelRegistration,1.0,0.0
addition,22,292,230,skill_015,AppointmentRegistration,1.0,0.0
addition,22,293,231,skill_015,QueryRegistration,1.0,0.0
addition,22,295,232,skill_015,CancelRegistration,1.0,0.0
addition,22,297,233,skill_015,EmergencyKnowledge,1.0,0.0
addition,22,315,249,skill_015,QueryRegistration,1.0,0.0
addition,22,318,252,skill_015,AppointmentRegistration,1.0,0.0
addition,22,335,265,skill_015,QueryRegistration,1.0,0.0
addition,22,365,288,skill_015,CancelRegistration,1.0,0.0
addition,22,372,295,skill_015,SymptomSearch,1.0,0.0
addition,22,373,296,skill_015,QueryRegistration,1.0,0.0
addition,22,375,297,skill_015,AppointmentRegistration,1.0,0.0
addition,22,394,310,skill_015,CancelRegistration,1.0,0.0
deletion,71,0,0,skill_003,ModifyRegistration,1.0,0.0
deletion,71,1,1,skill_004,QueryHealthData,1.0,0.0
deletion,71,2,2,skill_003,CancelRegistration,1.0,0.0
deletion,71,5,3,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,6,4,skill_003,ModifyRegistration,1.0,0.0
deletion,71,7,5,skill_004,RecordHealthData,1.0,0.0
deletion,71,8,6,skill_004,SymptomSearch,1.0,0.0
deletion,71,9,7,skill_004,SymptomSearch,1.0,0.0
deletion,71,10,8,skill_003,AppointmentRegistration,1.0,0.0
deletion,71,11,9,skill_003,ModifyRegistration,1.0,0.0
deletion,71,13,11,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,32,29,skill_003,CancelRegistration,1.0,0.0
deletion,71,33,30,skill_004,RecordHealthData,1.0,0.0
deletion,71,53,50,skill_004,RecordHealthData,1.0,0.0
deletion,71,54,51,skill_003,AppointmentRegistration,1.0,0.0
deletion,71,55,52,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,65,58,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,66,59,skill_003,ModifyRegistration,1.0,0.0
deletion,71,70,60,skill_003,ModifyRegistration,1.0,0.0
deletion,71,71,61,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,80,70,skill_004,QueryHealthData,1.0,0.0
deletion,71,81,71,skill_003,CancelRegistration,1.0,0.0
deletion,71,82,72,skill_004,SymptomSearch,1.0,0.0
deletion,71,89,76,skill_004,RecordHealthData,1.0,0.0
deletion,71,90,77,skill_003,AppointmentRegistration,1.0,0.0
deletion,71,91,78,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,110,95,skill_003,AppointmentRegistration,1.0,0.0
deletion,71,111,96,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,134,113,skill_003,CancelRegistration,1.0,0.0
deletion,71,135,114,skill_004,RecordHealthData,1.0,0.0
deletion,71,136,115,skill_003,QueryRegistration,1.0,0.0
deletion,71,137,116,skill_004,RecordHealthData,1.0,0.0
deletion,71,138,117,skill_003,AppointmentRegistration,1.0,0.0
deletion,71,139,118,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,154,132,skill_003,ModifyRegistration,1.0,0.0
deletion,71,155,133,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,161,134,skill_003,ModifyRegistration,1.0,0.0
deletion,71,162,135,skill_004,QueryHealthData,1.0,0.0
