experiment,setting,R_star,decision,seed
target_ray,alpha=-1.0,81.99999999999999,RESIDUAL,
target_ray,alpha=-0.5,9.055385138137417,RESIDUAL,
target_ray,alpha=-0.25,3.437216451903977,RESIDUAL,
target_ray,alpha=0.0,2.0,RESIDUAL,
target_ray,alpha=0.25,3.3898338006481312,RESIDUAL,
target_ray,alpha=0.5,9.055385138137417,RESIDUAL,
target_ray,alpha=1.0,82.0,RESIDUAL,
max_share,rho=1.0,2.0,RESIDUAL,
max_share,rho=0.75,2.0,RESIDUAL,
max_share,rho=0.5,2.0,RESIDUAL,
max_share,rho=0.4,2.0,RESIDUAL,
max_share,rho=0.3333333333333333,2.0,RESIDUAL,
max_share,rho=0.3,2.0,RESIDUAL,
max_share,rho=0.25,2.0,RESIDUAL,
max_share,rho=0.2,2.0,RESIDUAL,
max_share,rho=0.16666666666666666,2.0,RESIDUAL,
degree_preserving_null,draw=0,2.0,RESIDUAL,2026082400
degree_preserving_null,draw=1,2.0,RESIDUAL,2026082401
degree_preserving_null,draw=2,2.0,RESIDUAL,2026082402
degree_preserving_null,draw=3,2.0,RESIDUAL,2026082403
degree_preserving_null,draw=4,2.0,RESIDUAL,2026082404
degree_preserving_null,draw=5,2.0,RESIDUAL,2026082405
degree_preserving_null,draw=6,2.0,RESIDUAL,2026082406
degree_preserving_null,draw=7,2.0,RESIDUAL,2026082407
degree_preserving_null,draw=8,2.0,RESIDUAL,2026082408
degree_preserving_null,draw=9,2.0,RESIDUAL,2026082409
degree_preserving_null,draw=10,2.0,RESIDUAL,2026082410
degree_preserving_null,draw=11,2.0,RESIDUAL,2026082411
degree_preserving_null,draw=12,2.0,RESIDUAL,2026082412
degree_preserving_null,draw=13,2.0,RESIDUAL,2026082413
degree_preserving_null,draw=14,2.0,RESIDUAL,2026082414
degree_preserving_null,draw=15,2.0,RESIDUAL,2026082415
degree_preserving_null,draw=16,2.0,RESIDUAL,2026082416
degree_preserving_null,draw=17,2.0,RESIDUAL,2026082417
degree_preserving_null,draw=18,2.0,RESIDUAL,2026082418
degree_preserving_null,draw=19,2.0,RESIDUAL,2026082419
degree_preserving_null,draw=20,2.0,RESIDUAL,2026082420
degree_preserving_null,draw=21,2.0,RESIDUAL,2026082421
degree_preserving_null,draw=22,2.0,RESIDUAL,2026082422
degree_preserving_null,draw=23,2.0,RESIDUAL,2026082423
degree_preserving_null,draw=24,2.0,RESIDUAL,2026082424
degree_preserving_null,draw=25,2.0,RESIDUAL,2026082425
degree_preserving_null,draw=26,2.0,RESIDUAL,2026082426
degree_preserving_null,draw=27,2.0,RESIDUAL,2026082427
degree_preserving_null,draw=28,2.0,RESIDUAL,2026082428
degree_preserving_null,draw=29,2.0,RESIDUAL,2026082429
degree_preserving_null,draw=30,2.0,RESIDUAL,2026082430
degree_preserving_null,draw=31,2.0,RESIDUAL,2026082431
degree_preserving_null,draw=32,2.0,RESIDUAL,2026082432
degree_preserving_null,draw=33,2.0,RESIDUAL,2026082433
degree_preserving_null,draw=34,2.0,RESIDUAL,2026082434
degree_preserving_null,draw=35,2.0,RESIDUAL,2026082435
degree_preserving_null,draw=36,2.0,RESIDUAL,2026082436
degree_preserving_null,draw=37,2.0,RESIDUAL,2026082437
degree_preserving_null,draw=38,2.0,RESIDUAL,2026082438
degree_preserving_null,draw=39,2.0,RESIDUAL,2026082439
degree_preserving_null,draw=40,2.0,RESIDUAL,2026082440
degree_preserving_null,draw=41,2.0,RESIDUAL,2026082441
degree_preserving_null,draw=42,2.0,RESIDUAL,2026082442
degree_preserving_null,draw=43,2.0,RESIDUAL,2026082443
degree_preserving_null,draw=44,2.0,RESIDUAL,2026082444
degree_preserving_null,draw=45,2.0,RESIDUAL,2026082445
degree_preserving_null,draw=46,2.0,RESIDUAL,2026082446
degree_preserving_null,draw=47,2.0,RESIDUAL,2026082447
degree_preserving_null,draw=48,2.0,RESIDUAL,2026082448
degree_preserving_null,draw=49,2.0,RESIDUAL,2026082449
degree_preserving_null,draw=50,2.0,RESIDUAL,2026082450
degree_preserving_null,draw=51,2.0,RESIDUAL,2026082451
degree_preserving_null,draw=52,2.0,RESIDUAL,2026082452
degree_preserving_null,draw=53,2.0,RESIDUAL,2026082453
degree_preserving_null,draw=54,2.0,RESIDUAL,2026082454
degree_preserving_null,draw=55,2.0,RESIDUAL,2026082455
degree_preserving_null,draw=56,2.0,RESIDUAL,2026082456
degree_preserving_null,draw=57,2.0,RESIDUAL,2026082457
degree_preserving_null,draw=58,2.0,RESIDUAL,2026082458
degree_preserving_null,draw=59,2.0,RESIDUAL,2026082459
degree_preserving_null,draw=60,2.0,RESIDUAL,2026082460
degree_preserving_null,draw=61,2.0,RESIDUAL,2026082461
degree_preserving_null,draw=62,2.0,RESIDUAL,2026082462
degree_preserving_null,draw=63,2.0,RESIDUAL,2026082463
degree_preserving_null,draw=64,2.0,RESIDUAL,2026082464
degree_preserving_null,draw=65,2.0,RESIDUAL,2026082465
degree_preserving_null,draw=66,2.0,RESIDUAL,2026082466
degree_preserving_null,draw=67,2.0,RESIDUAL,2026082467
degree_preserving_null,draw=68,2.0,RESIDUAL,2026082468
degree_preserving_null,draw=69,2.0,RESIDUAL,2026082469
degree_preserving_null,draw=70,2.0,RESIDUAL,2026082470
degree_preserving_null,draw=71,2.0,RESIDUAL,2026082471
degree_preserving_null,draw=72,2.0,RESIDUAL,2026082472
degree_preserving_null,draw=73,2.0,RESIDUAL,2026082473
degree_preserving_null,draw=74,2.0,RESIDUAL,2026082474
degree_preserving_null,draw=75,2.0,RESIDUAL,2026082475
degree_preserving_null,draw=76,2.0,RESIDUAL,2026082476
degree_preserving_null,draw=77,2.0,RESIDUAL,2026082477
degree_preserving_null,draw=78,2.0,RESIDUAL,2026082478
degree_preserving_null,draw=79,2.0,RESIDUAL,2026082479
degree_preserving_null,draw=80,2.0,RESIDUAL,2026082480
degree_preserving_null,draw=81,2.0,RESIDUAL,2026082481
degree_preserving_null,draw=82,2.0,RESIDUAL,2026082482
degree_preserving_null,draw=83,2.0,RESIDUAL,2026082483
degree_preserving_null,draw=84,2.0,RESIDUAL,2026082484
degree_preserving_null,draw=85,2.0,RESIDUAL,2026082485
degree_preserving_null,draw=86,2.0,RESIDUAL,2026082486
degree_preserving_null,draw=87,2.0,RESIDUAL,2026082487
degree_preserving_null,draw=88,2.0,RESIDUAL,2026082488
degree_preserving_null,draw=89,2.0,RESIDUAL,2026082489
degree_preserving_null,draw=90,2.0,RESIDUAL,2026082490
degree_preserving_null,draw=91,2.0,RESIDUAL,2026082491
degree_preserving_null,draw=92,2.0,RESIDUAL,2026082492
degree_preserving_null,draw=93,2.0,RESIDUAL,2026082493
degree_preserving_null,draw=94,2.0,RESIDUAL,2026082494
degree_preserving_null,draw=95,2.0,RESIDUAL,2026082495
degree_preserving_null,draw=96,2.0,RESIDUAL,2026082496
degree_preserving_null,draw=97,2.0,RESIDUAL,2026082497
degree_preserving_null,draw=98,2.0,RESIDUAL,2026082498
degree_preserving_null,draw=99,2.0,RESIDUAL,2026082499
degree_preserving_null,draw=100,2.0,RESIDUAL,2026082500
degree_preserving_null,draw=101,2.0,RESIDUAL,2026082501
degree_preserving_null,draw=102,2.0,RESIDUAL,2026082502
degree_preserving_null,draw=103,2.0,RESIDUAL,2026082503
