round,rows_before,R_star_before,witness_row_count,witness_rows
0,314,2.0,3,"[{""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 0, ""tool"": ""ModifyRegistration""}, {""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 12, ""tool"": ""EmergencyKnowledge""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 44, ""tool"": ""ModifyRegistration""}]"
1,311,2.0,3,"[{""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 2, ""tool"": ""CancelRegistration""}, {""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 17, ""tool"": ""QueryAlarm""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 118, ""tool"": ""ModifyRegistration""}]"
2,308,2.0,3,"[{""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 6, ""tool"": ""ModifyRegistration""}, {""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 19, ""tool"": ""QueryMeeting""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 148, ""tool"": ""ModifyRegistration""}]"
3,305,2.0,3,"[{""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 10, ""tool"": ""AppointmentRegistration""}, {""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 20, ""tool"": ""GetUserToken""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 181, ""tool"": ""ModifyRegistration""}]"
4,302,2.0,3,"[{""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 11, ""tool"": ""ModifyRegistration""}, {""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 21, ""tool"": ""AddAgenda""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 199, ""tool"": ""ModifyRegistration""}]"
5,299,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 22, ""tool"": ""AddAgenda""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 32, ""tool"": ""CancelRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 276, ""tool"": ""QueryRegistration""}]"
6,296,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 23, ""tool"": ""QueryStock""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 54, ""tool"": ""AppointmentRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 289, ""tool"": ""CancelRegistration""}]"
7,293,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 24, ""tool"": ""OpenBankAccount""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 66, ""tool"": ""ModifyRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 292, ""tool"": ""AppointmentRegistration""}]"
8,290,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 30, ""tool"": ""AddReminder""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 70, ""tool"": ""ModifyRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 293, ""tool"": ""QueryRegistration""}]"
9,287,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 31, ""tool"": ""AddReminder""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 81, ""tool"": ""CancelRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 295, ""tool"": ""CancelRegistration""}]"
10,284,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 34, ""tool"": ""QueryRegistration""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 90, ""tool"": ""AppointmentRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 315, ""tool"": ""QueryRegistration""}]"
11,281,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 35, ""tool"": ""ForgotPassword""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 110, ""tool"": ""AppointmentRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 318, ""tool"": ""AppointmentRegistration""}]"
12,278,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 36, ""tool"": ""ForgotPassword""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 134, ""tool"": ""CancelRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 335, ""tool"": ""QueryRegistration""}]"
13,275,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 39, ""tool"": ""RegisterUser""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 136, ""tool"": ""QueryRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 365, ""tool"": ""CancelRegistration""}]"
14,272,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 43, ""tool"": ""QueryReminder""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 138, ""tool"": ""AppointmentRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 373, ""tool"": ""QueryRegistration""}]"
15,269,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 45, ""tool"": ""ForgotPassword""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 154, ""tool"": ""ModifyRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 375, ""tool"": ""AppointmentRegistration""}]"
16,266,2.0,3,"[{""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 46, ""tool"": ""ForgotPassword""}, {""accepted_skill_ids"": [""skill_003"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 161, ""tool"": ""ModifyRegistration""}, {""accepted_skill_ids"": [""skill_003""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 394, ""tool"": ""CancelRegistration""}]"
17,263,2.0,3,"[{""accepted_skill_ids"": [""skill_004"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 1, ""tool"": ""QueryHealthData""}, {""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 51, ""tool"": ""GetUserToken""}, {""accepted_skill_ids"": [""skill_004""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 98, ""tool"": ""RecordHealthData""}]"
18,260,2.0,3,"[{""accepted_skill_ids"": [""skill_004"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 5, ""tool"": ""EmergencyKnowledge""}, {""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 52, ""tool"": ""AddAgenda""}, {""accepted_skill_ids"": [""skill_004""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 133, ""tool"": ""QueryHealthData""}]"
19,257,2.0,3,"[{""accepted_skill_ids"": [""skill_004"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 7, ""tool"": ""RecordHealthData""}, {""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 59, ""tool"": ""GetUserToken""}, {""accepted_skill_ids"": [""skill_004""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 233, ""tool"": ""QueryHealthData""}]"
20,254,2.0,3,"[{""accepted_skill_ids"": [""skill_004"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 8, ""tool"": ""SymptomSearch""}, {""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 74, ""tool"": ""QueryStock""}, {""accepted_skill_ids"": [""skill_004""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 297, ""tool"": ""EmergencyKnowledge""}]"
21,251,2.0,3,"[{""accepted_skill_ids"": [""skill_004"", ""skill_015""], ""dual_role"": ""beta"", ""dual_value"": 1.0, ""index"": 9, ""tool"": ""SymptomSearch""}, {""accepted_skill_ids"": [""skill_015""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 78, ""tool"": ""QueryHistoryToday""}, {""accepted_skill_ids"": [""skill_004""], ""dual_role"": ""alpha"", ""dual_value"": 1.0, ""index"": 372, ""tool"": ""SymptomSearch""}]"
