audit,stratum,contrast,n,point,ci90_lo,ci90_hi,ci95_lo,ci95_hi,wins,ties,losses
A1_exact_stratum,C3_grounding,T_minus_N,5,0.3,0.0,0.6,0.0,0.7,2,3,0
A1_exact_stratum,C3_grounding,T_minus_G0,5,0.3,0.0,0.6,0.0,0.7,2,3,0
A1_exact_stratum,C3_grounding,G0_minus_N,5,0.0,0.0,0.0,0.0,0.0,0,5,0
A2_exact_stratum,C3_grounding,G0_minus_N,5,0.05,0.0,0.15,0.0,0.15,1,4,0
A1_exact_stratum,C4_grounding,T_minus_N,5,0.2,0.0,0.6,0.0,0.6,1,4,0
A1_exact_stratum,C4_grounding,T_minus_G0,5,0.2,0.0,0.6,0.0,0.6,1,4,0
A1_exact_stratum,C4_grounding,G0_minus_N,5,0.0,0.0,0.0,0.0,0.0,0,5,0
A2_exact_stratum,C4_grounding,G0_minus_N,5,0.05,0.0,0.15,0.0,0.15,1,4,0
A1_exact_stratum,EIA_heldout_cutoff,T_minus_N,8,0.375,0.1875,0.5625,0.1875,0.625,5,3,0
A1_exact_stratum,EIA_heldout_cutoff,T_minus_G0,8,0.625,0.375,0.875,0.25,0.875,5,3,0
A1_exact_stratum,EIA_heldout_cutoff,G0_minus_N,8,-0.25,-0.5,0.0,-0.5625,0.0625,1,3,4
A2_exact_stratum,EIA_heldout_cutoff,G0_minus_N,8,-0.1875,-0.46875,0.0625,-0.5,0.125,2,2,4
O5_surface,all_prefrozen,T_minus_R,18,0.0,-0.05555555555555555,0.05555555555555555,-0.08333333333333333,0.08333333333333333,1,16,1
O5_surface,T_non_ceiling,T_minus_R,4,0.0,-0.25,0.25,-0.375,0.375,1,2,1
O5_surface,C3_grounding,T_minus_R,5,0.0,0.0,0.0,0.0,0.0,0,5,0
O5_surface,C4_grounding,T_minus_R,5,0.0,-0.2,0.2,-0.3,0.3,1,3,1
O5_surface,EIA_heldout_cutoff,T_minus_R,8,0.0,0.0,0.0,0.0,0.0,0,8,0
