endpoint_id,phase,family,T_mean,Rsurf_mean,T_minus_Rsurf,non_tie,T_ceiling
composite-ground::doc_128dc1bd848f,C3-R,exogenous_grounding,1.0,1.0,0.0,False,True
composite-ground::doc_15ffceb07aa2,C4-R,exogenous_grounding,0.5,0.0,0.5,True,False
composite-ground::doc_187e543fe980,C4-R,exogenous_grounding,0.0,0.5,-0.5,True,False
composite-ground::doc_1dfccd3a55dd,C3-R,exogenous_grounding,0.0,0.0,0.0,False,False
composite-ground::doc_5c43ed3f16d2,C4-R,exogenous_grounding,1.0,1.0,0.0,False,True
composite-ground::doc_65c03428faa4,C3-R,exogenous_grounding,1.0,1.0,0.0,False,True
composite-ground::doc_70e1e3d18499,C3-R,exogenous_grounding,0.0,0.0,0.0,False,False
composite-ground::doc_71b83aedc0f9,C4-R,exogenous_grounding,1.0,1.0,0.0,False,True
composite-ground::doc_950378981b9f,C4-R,exogenous_grounding,1.0,1.0,0.0,False,True
composite-ground::doc_cc293f199ada,C3-R,exogenous_grounding,1.0,1.0,0.0,False,True
eia-cutoff::doc_229defbde6bb,C4-R4,temporal_cutoff,1.0,1.0,0.0,False,True
eia-cutoff::doc_4054808c7b19,C4-R4,temporal_cutoff,1.0,1.0,0.0,False,True
eia-cutoff::doc_62014739d975,C4-R4,temporal_cutoff,1.0,1.0,0.0,False,True
eia-cutoff::doc_9bf3bfa4a0cb,C4-R4,temporal_cutoff,1.0,1.0,0.0,False,True
eia-cutoff::doc_a4f03bdc5762,C4-R4,temporal_cutoff,1.0,1.0,0.0,False,True
eia-cutoff::doc_b246cd0161c9,C4-R4,temporal_cutoff,1.0,1.0,0.0,False,True
eia-cutoff::doc_c07997777e83,C4-R4,temporal_cutoff,1.0,1.0,0.0,False,True
eia-cutoff::doc_d6a5cf917d12,C4-R4,temporal_cutoff,1.0,1.0,0.0,False,True
